SRR6903872	Texanus_20_21.2007.816
SRR6903873	Texanus_20_21.2007.818
SRR6903874	Texanus_20_21.2007.820
SRR6974380	Texanus_20_21.2007.820
SRR6903875	Texanus_20_21.2007.822
SRR6903876	Texanus_20_21.2007.823
SRR6903580	Texanus_20_21.2007.824
SRR6903579	Texanus_20_21.2007.826
SRR6903582	Texanus_20_21.2007.832
SRR6903581	Texanus_20_21.2007.835
SRR6903584	Texanus_20_21.2007.838
SRR6903583	Texanus_20_21.2007.841
SRR6903822	Texanus_20_21.2008.138
SRR6903821	Texanus_20_21.2008.142
SRR6903776	Texanus_20_21.2008.150
SRR6974501	Texanus_20_21.2008.150
SRR6903777	Texanus_20_21.2008.154
SRR6903512	Texanus_20_21.2008.158
SRR6903515	Texanus_20_21.2008.162
SRR6903772	Texanus_20_21.2008.166
SRR6903773	Texanus_20_21.2008.170
SRR6974500	Texanus_20_21.2008.170
SRR6903774	Texanus_20_21.2008.174
SRR6903775	Texanus_20_21.2008.182
SRR6903612	Texanus_20_21.2008.186
SRR6903618	Texanus_20_21.2008.190
SRR6974499	Texanus_20_21.2008.190
SRR6903527	Texanus_20_21.2008.194
SRR6903528	Texanus_20_21.2008.198
SRR6903529	Texanus_20_21.2008.210
SRR6974498	Texanus_20_21.2008.210
SRR6903530	Texanus_20_21.2008.214
SRR6903531	Texanus_20_21.2008.218
SRR6903532	Texanus_20_21.2008.226
SRR6903533	Texanus_20_21.2008.664
SRR6903534	Texanus_20_21.2008.668
SRR6903535	Texanus_20_21.2008.672
SRR6903589	Texanus_20_21.2008.676
SRR6903787	Texanus_20_21.2008.680
SRR6974497	Texanus_20_21.2008.680
SRR6903786	Texanus_20_21.2008.684
SRR6903785	Texanus_20_21.2008.688
SRR6903784	Texanus_20_21.2008.692
SRR6903783	Texanus_20_21.2008.696
SRR6903782	Texanus_20_21.2008.700
SRR6974506	Texanus_20_21.2008.700
SRR6903781	Texanus_20_21.2008.704
SRR6903780	Texanus_20_21.2008.708
SRR6903779	Texanus_20_21.2008.712
SRR6903778	Texanus_20_21.2008.716
SRR6903586	Texanus_22_23.2008.018
SRR6903585	Texanus_22_23.2008.026
SRR6903578	Texanus_22_23.2008.030
SRR6974381	Texanus_22_23.2008.030
SRR6903577	Texanus_22_23.2008.034
SRR6903631	Texanus_22_23.2008.038
SRR6903632	Texanus_22_23.2008.042
SRR6903629	Texanus_22_23.2008.046
SRR6903630	Texanus_22_23.2008.050
SRR6974382	Texanus_22_23.2008.050
SRR6903635	Texanus_22_23.2008.058
SRR6903636	Texanus_22_23.2008.070
SRR6974383	Texanus_22_23.2008.070
SRR6903633	Texanus_22_23.2008.078
SRR6903634	Texanus_22_23.2008.082
SRR6903627	Texanus_22_23.2008.094
SRR6903628	Texanus_22_23.2008.1000
SRR6974504	Texanus_22_23.2008.1000
SRR6903809	Texanus_22_23.2008.1005
SRR6912525	Texanus_22_23.2008.1012
SRR6912547	Texanus_22_23.2008.1015
SRR6903808	Texanus_22_23.2008.102
SRR6903713	Texanus_22_23.2008.1020
